"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"delta_y[1073]",5454.20825849556,0.0128715031502278,0.908360942975884,5452.60724503257,5453.52141366471,5454.19733580231,5454.84867988966,5456.01068343485,4980.33286652688,0.999930533836069
"delta_y[1074]",5453.49704277418,0.00905646778123816,0.757898372541019,5452.48365230544,5452.86917946587,5453.35099219606,5453.99331819375,5455.23941132725,7003.32460001339,0.999730759742576
"delta_y[1075]",5455.05483527332,0.0136316620566204,0.970210503408302,5453.05419648804,5454.39869585139,5455.0817423816,5455.71146843356,5456.96502438735,5065.63999409064,0.999424943403487
"delta_y[1076]",5454.84298362789,0.0203468757789803,1.03574861567769,5452.78034557736,5454.12459401562,5454.88216179324,5455.53648614428,5456.88970655227,2591.27351213774,0.999291214208529
"delta_y[1077]",5454.10661884411,0.0137077461062041,0.943400656204126,5452.53658487746,5453.37411844093,5454.08678821409,5454.7592427618,5456.02329075457,4736.52947536171,1.00033546306526
"delta_y[1078]",5454.03323036374,0.013172044479242,0.984027100446025,5452.52161856342,5453.18690885726,5453.97451700698,5454.73951892886,5455.96599563887,5580.94498357235,0.99946004773836
"delta_y[1079]",5456.64159461586,0.0141627301261109,0.864585667632678,5454.8209702904,5456.06641608025,5456.71003947768,5457.31392554527,5457.9844550145,3726.68001562527,1.00094018249445
"delta_y[1080]",5457.04964482534,0.00967545769307543,0.707726655201012,5455.47272944835,5456.58426250758,5457.15945100064,5457.62807698198,5458.01601591442,5350.42239276674,0.999640160593879
"delta_y[1081]",5455.14121825653,0.0124883182338692,0.854403210371554,5453.46594667402,5454.57445295609,5455.14162251336,5455.72612420878,5456.78370212306,4680.775681972,0.999205696876814
"delta_y[1082]",5454.79148434462,0.0152608537132377,1.06168298195406,5452.71450629134,5454.0628330816,5454.82606311817,5455.48322447389,5456.92502155103,4839.85168705401,1.00067939331345
"delta_y[1083]",5453.51675233031,0.00980062818607618,0.721532543397983,5452.49390204442,5452.92775499225,5453.41730090053,5454.01392219667,5455.07267198075,5420.05908842922,0.99957228855375
"delta_y[1084]",5457.03277248259,0.0102051126462764,0.727592870327666,5455.39294037211,5456.54901329357,5457.14163836069,5457.63555913161,5458.0239548127,5083.24759326725,0.99967068218665
"delta_y[1085]",5453.50088050976,0.0100457028193504,0.718623677187365,5452.48850433213,5452.90245663762,5453.41277202744,5453.98613479928,5455.08019270233,5117.31783576315,0.999853133068045
