"rho1","rho2","rho3","loglik2.5","loglik50","loglik97.5","rho0_2.5","rho0_50","rho0_97.5","rho1_2.5","rho1_50","rho1_97.5","rho2_2.5","rho2_50","rho2_97.5","rho3_2.5","rho3_50","rho3_97.5","rhomax_2.5","rhomax_50","rhomax_97.5"
0,-0.25,-0.1,NA,NA,NA,-0.173280828377701,0.0209612603373699,0.216207455417498,-0.10651648942243,-0.029553223092855,0.0467990128976966,-0.404564291032866,-0.103538352756693,0.156274898102391,-0.144539812576045,-0.0699004313062165,0.00792316188982153,1.30761597247096,1.54787421295234,1.83204215645307
0.1,-0.25,-0.1,NA,NA,NA,-0.165514700996807,0.0239952611161336,0.21384182991315,-0.00112260779519142,0.086803175944828,0.17350838055257,-0.344061743953515,-0.0383609926794516,0.289952653622099,-0.290982934749772,-0.172343885714804,-0.0642290549939288,1.44800602765338,1.69609647480777,2.01787890152216
0.3,-0.25,-0.05,NA,NA,NA,-0.17078480498167,0.0227272599811992,0.220139220516273,0.194785646103393,0.292737394854608,0.395430614708679,-0.594589155328164,-0.216933071642528,0.130862671252809,-0.239551666090144,-0.0991548679496176,0.0239642228348163,1.38472913542463,1.63769821543852,1.94426060163072
0.2,-0.25,-0.05,NA,NA,NA,-0.170712301805103,0.0171475281731964,0.211144375802313,0.0944972111821415,0.172215814516794,0.257874145529929,-0.252467443761402,0.0539570189234709,0.326320113739099,-0.0174509541316711,0.0612060625315642,0.139311693019571,1.24903102208579,1.45789506776978,1.72432198380182
0.1,-0.25,0,NA,NA,NA,-0.155098066300322,0.0290606315839563,0.220678357299986,0.0804670352221379,0.172692680304214,0.266311808151018,-0.19672500327994,0.0107350687015083,0.27441772172928,-0.0592744525477877,0.0116489372178055,0.108011974776676,1.55517115545031,1.83754739200342,2.20661390802104
0.5,-0.25,0.05,NA,NA,NA,-0.154947763314499,0.0400741885430476,0.228216919200475,0.339885108569593,0.439033510007633,0.550416321329071,-0.287437799767054,-0.040694092137888,0.226017579113754,-0.0237603472784575,0.102608713269828,0.247642094350635,1.40629811169213,1.65311033908556,1.95721349453474
0.1,-0.25,0.1,NA,NA,NA,-0.168045985616464,0.0263084767816419,0.223942918047607,-0.0741038508678872,0.0243839526858851,0.124054469583566,-0.396650734032181,-0.061342530059047,0.188878904934044,0.00316601065746166,0.0825749912257264,0.167476558822131,1.41668704592311,1.71493965513989,2.09279337950528
0.2,-0.25,0,NA,NA,NA,-0.166571536842363,0.021212421844895,0.221106320203208,0.0637901271414316,0.145943244013151,0.235798807136873,-0.420673634190344,-0.132653349388925,0.178853314792043,-0.0766761709455479,0.00553216106050857,0.0902360811963586,1.33592665296208,1.58181185885146,1.87596661789735
0,0.5,0.1,NA,NA,NA,-0.169509588105063,0.0276177705558886,0.223492767625139,-0.175644606384254,-0.0895146044350673,-0.000196775387167548,0.0995193598848474,0.432649835600461,0.762442269744019,-0.00128101368100354,0.0862842716509657,0.178265712322264,1.3000820004386,1.53359889603496,1.81498248859756
0.1,-0.5,-0.05,NA,NA,NA,-0.178643985661127,0.0155901678408901,0.202955163793326,0.0425062478018837,0.122122018145095,0.206551731449526,-0.63117936864757,-0.377887959668778,-0.0898396427895623,-0.153946081327636,-0.0628610110002417,0.0321934079246215,1.33128955933891,1.57356975707113,1.84821820558188
0.5,-0.25,-0.05,NA,NA,NA,-0.165347055031837,0.0389664693938753,0.235023912057688,0.308575724608267,0.411150691190689,0.527151021688609,-0.502932511128091,-0.200518728805561,0.116683684642682,-0.177938287041106,-0.0454348526735151,0.0854151739570785,1.25785362956845,1.48428637184924,1.76474271168788
0,0,-0.05,NA,NA,NA,-0.173314192067876,0.0234665758777084,0.208775610211326,-0.0580972408351272,0.0134440216388878,0.0872768668587945,-0.132183877708373,0.129843554285435,0.405592054349772,-0.114386935727779,-0.0427792828546704,0.0245526030805341,1.25208795984328,1.46368698444478,1.723846084669
