number,family,genus,species,sci_name,crude_protein[%],type,europe,north_america,south_america,africa,asia,australia,citation
16,Bixaceae,Amoreuxia,palmatifida,Amoreuxia palmatifida,51.7,weed,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
17,Myrtaceae,Angophora,floribunda,Angophora floribunda,22.2,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
18,Apiaceae,Anthriscus,sylvestris,Anthriscus sylvestris,29,weed,yes,NA,NA,yes,yes,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
19,Asteraceae,Arctotheca,calendula,Arctotheca calendula,17.3,weed,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
20,Asteraceae,Arctotheca,calendula,Arctotheca calendula,21,weed,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Rayer and Langridge 1985)"
21,Asteraceae,Arctotheca,calendula,Arctotheca calendula,16.8,weed,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
22,Papaveraceae,Argemone,corymbosa,Argemone corymbosa,45.3,weed,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
23,Asteraceae,Artemisia,spp.,Artemisia spp.,13.1,weed,yes,NA,NA,NA,NA,NA,"Szcz�sna, T. (2006). Protein content and amino acid composition of bee-collected pollen from selected botanical origins. Journal of Apicultural Science, 50(2), 81-90."
24,Asparagaceae,Asparagus,officinalis,Asparagus officinalis,37,crop,yes,yes,yes,NA,yes,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
25,Asparagaceae,Asparagus,officinalis,Asparagus officinalis,25.6,crop,yes,yes,yes,NA,yes,NA,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
26,Asphodelaceae,Asphodelus,fistulosus,Asphodelus fistulosus,22.5,weed,yes,yes,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
27,Asphodelaceae,Asphodelus,fistulosus,Asphodelus fistulosus,14,weed,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
28,Apiaceae,Astrantia,spp.,Astrantia spp.,30.6,weed,yes,NA,NA,NA,NA,NA,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
29,Proteaceae,Banksia,ericifolia,Banksia ericifolia,28.6,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
30,Proteaceae,Banksia,ericifolia,Banksia ericifolia,30.9,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Stace 1996)"
31,Proteaceae,Banksia,serrata,Banksia serrata,33.3,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
32,Proteaceae,Banksia,serrata,Banksia serrata,32.2,wild,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
33,Melastomataceae,Bellucia,imperialis,Bellucia imperialis,56.6,wild,NA,NA,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
34,Chenopodiaceae,Beta,vulgaris,Beta vulgaris,24.2,crop,yes,yes,NA,NA,yes,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
35,Polygonaceae,Bistorta,officinalis,Bistorta officinalis,15.3,wild,yes,yes,NA,yes,yes,NA,"Szcz�sna, T. (2006). Protein content and amino acid composition of bee-collected pollen from selected botanical origins. Journal of Apicultural Science, 50(2), 81-90."
36,Bombacaceae,Bombacopsis,quinata,Bombacopsis quinata,50.3,wild,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
37,Chenopodiaceae,Brassia,scoparia,Brassia scoparia,19.3,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
38,Brassicaceae,Brassica,napus,Brassica napus,31.9,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
39,Brassicaceae,Brassica,napus,Brassica napus,23.8,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
40,Brassicaceae,Brassica,napus,Brassica napus,27.1,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Rayer and Langridge 1985)"
41,Brassicaceae,Brassica,napus,Brassica napus,10.6,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Muss 1987)"
42,Brassicaceae,Brassica,napus,Brassica napus,24.1,crop,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Stace 1996)"
43,Brassicaceae,Brassica,napus,Brassica napus,26.7,crop,yes,yes,yes,yes,yes,yes,"Requier, F., Odoux, J. F., Tamic, T., Moreau, N., Henry, M., Decourtye, A., & Bretagnolle, V. (2015). Honey bee diet in intensive farmland habitats reveals an unexpectedly high flower richness and a major role of weeds. Ecological Applications, 25(4), 881-890."
44,Brassicaceae,Brassica,nigra,Brassica nigra,33.6,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
45,Brassicaceae,Brassica,nigra,Brassica nigra,33.6,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
46,Brassicaceae,Brassica,rapa,Brassica rapa,44.1,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
47,Brassicaceae,Brassica,spp.,Brassica spp.,24.1,crop,yes,yes,yes,yes,yes,yes,"Szcz�sna, T. (2006). Protein content and amino acid composition of bee-collected pollen from selected botanical origins. Journal of Apicultural Science, 50(2), 81-90."
48,Brassicaceae,Brassica,spp.,Brassica spp.,28.8,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
49,Brassicaceae,Brassicaceae,spp.,Brassicaceae spp.,28.8,crop,yes,NA,NA,NA,NA,NA,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
50,Asteraceae,Caduus,nutans,Caduus nutans,15.1,weed,NA,NA,NA,NA,NA,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
51,Campanulaceae,Campanula,patula,Campanula patula,23.6,weed,yes,yes,NA,NA,yes,yes,"Szcz�sna, T. (2006). Protein content and amino acid composition of bee-collected pollen from selected botanical origins. Journal of Apicultural Science, 50(2), 81-90."
52,Cannabaceae,Cannabis,sativa,Cannabis sativa,31.8,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
53,Cactaceae,Carnegiea,gigantea,Carnegiea gigantea,37.8,weed,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
