number,family,genus,species,sci_name,crude_protein[%],type,europe,north_america,south_america,africa,asia,australia,citation
239,Salicaceae,Salix,repens,Salix repens,38.7,wild,yes,yes,NA,NA,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
240,Salicaceae,Salix,spp.,Salix spp.,25,wild,yes,NA,NA,NA,NA,NA,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, M�nchen."
241,Asteraceae,Senecio,madagascariensis,Senecio madagascariensis,12.4,weed,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
242,Asteraceae,Senecio,madagascariensis,Senecio madagascariensis,14.1,weed,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149. (citing Stace 1996)"
243,Fabaceae,Senna,covesii,Senna covesii,42.8,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
244,Fabaceae,Senna,fruticosa,Senna fruticosa,49.4,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
245,Fabaceae,Senna,obtusifolia,Senna obtusifolia,45.8,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
246,Fabaceae,Senna,occidentalis,Senna occidentalis,33.5,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
247,Fabaceae,Senna,reticulata,Senna reticulata,51.6,weed,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
248,Malvaceae,Sidalcea,oregana,Sidalcea oregana,14.4,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
249,Brassicaceae,Sinapis,alba,Sinapis alba,24.5,crop,yes,yes,yes,yes,yes,yes,"Szcz�sna, T. (2006). Protein content and amino acid composition of bee-collected pollen from selected botanical origins. Journal of Apicultural Science, 50(2), 81-90."
250,Brassicaceae,Sinapis,arvensis,Sinapis arvensis,33.8,weed,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
251,Brassicaceae,Sinapis,arvensis,Sinapis arvensis,23.5,weed,yes,NA,NA,NA,NA,NA,"Szcz�sna, T. (2006). Protein content and amino acid composition of bee-collected pollen from selected botanical origins. Journal of Apicultural Science, 50(2), 81-90."
252,Brassicaceae,Sinapis,sp.,Sinapis sp.,23.3,NA,yes,NA,NA,NA,NA,NA,"Requier, F., Odoux, J. F., Tamic, T., Moreau, N., Henry, M., Decourtye, A., & Bretagnolle, V. (2015). Honey bee diet in intensive farmland habitats reveals an unexpectedly high flower richness and a major role of weeds. Ecological Applications, 25(4), 881-890."
253,Brassicaceae,Sinapis,sp.,Sinapis sp.,27,NA,yes,NA,NA,NA,NA,NA,"Odoux, J. F., Feuillet, D., Aupinel, P., Loublier, Y., Tasei, J. N., & Mateescu, C. (2012). Territorial biodiversity and consequences on physico-chemical characteristics of pollen collected by honey bee colonies. Apidologie, 43(5), 561-575."
254,Brassicaceae,Sisymbrium,officinale,Sisymbrium officinale,22.2,weed,yes,yes,yes,yes,yes,yes,"Somerville, D. C., & Nicol, H. I. (2006). Crude protein and amino acid composition of honey bee-collected pollen pellets from south-east Australia and a note on laboratory disparity. Australian Journal of Experimental Agriculture, 46(1), 141-149."
255,Solanaceae,Solanum,americanum,Solanum americanum,49,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
256,Solanaceae,Solanum,appendiculatum,Solanum appendiculatum,46.2,wild,yes,yes,yes,NA,yes,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
257,Solanaceae,Solanum,atropurpureum,Solanum atropurpureum,40.8,wild,yes,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
258,Solanaceae,Solanum,aviculare,Solanum aviculare,40.1,wild,NA,yes,NA,NA,NA,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
259,Solanaceae,Solanum,basendopogon,Solanum basendopogon,40.4,wild,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
260,Solanaceae,Solanum,carpiense,Solanum caripense,50.8,crop,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
261,Solanaceae,Solanum,citrullifolium,Solanum citrullifolium,52,wild,yes,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
262,Solanaceae,Solanum,douglasii,Solanum douglassii,53.4,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
263,Solanaceae,Solanum,dulcamara,Solanum dulcamara,51.4,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
264,Solanaceae,Solanum,elaeagnifolium,Solanum elaeagnifolium,39.2,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
265,Solanaceae,Solanum,hayesii,Solanum hayesii,50.9,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
266,Solanaceae,Solanum,lanceifolium,Solanum lanceifolium,46.7,weed,NA,yes,yes,NA,yes,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
267,Solanaceae,Solanum,lycopersicum,Solanum lycopersicum,54.9,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
268,Solanaceae,Solanum,melongena,Solanum melongena,45.7,crop,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
269,Solanaceae,Solanum,muricatum,Solanum muricatum,39.9,crop,NA,yes,yes,yes,NA,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
270,Solanaceae,Solanum,pyracanthum,Solanum pyracanthum,50.8,wild,NA,NA,NA,yes,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
271,Solanaceae,Solanum,sisymbriifolium,Solanum sisymbriifolium,46.6,weed,yes,yes,yes,yes,yes,yes,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
272,Solanaceae,Solanum,tabanoense,Solanum tabanoense,34.1,wild,NA,yes,yes,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
273,Solanaceae,Solanum,xanti,Solanum xanti,53,wild,NA,yes,NA,NA,NA,NA,"Roulston T. H., Cane, J. H., & Buchmann, S. L. (2000). What governs protein content of pollen: pollinator preferences, pollen?pistil interactions, or phylogeny?. Ecological monographs, 70(4), 617-643."
